202312161944
chozame
x
area
charger_4k_scope,others,432,5,1,2,win
shooter_sharp,myself,515,5,2,2,win
wiper_gim,others,537,4,1,2,win
shooter_spla,others,506,4,3,2,win
stringer_lact,others,759,4,4,2,lose
blaster_hot_custom,others,371,2,3,1,lose
shooter_spla,others,376,3,3,1,lose
charger_4k_scope,others,249,0,4,0,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
839,453,20,False,753,390,20,False,913,540,28,False,1175,403,45,False,880,234,35,False,1072,325,22,False,912,335,26,False,881,247,2,False
846,449,20,False,752,389,20,False,913,515,28,False,1184,397,49,False,864,237,37,False,1094,312,23,False,911,331,26,False,1158,400,2,False
837,448,2,False,748,383,2,False,912,498,28,False,1191,392,50,False,855,242,38,False,1100,294,24,False,915,333,26,False,1158,400,2,False
825,456,22,False,738,371,30,False,913,487,29,False,1192,386,52,False,839,248,39,False,1104,283,26,False,919,336,26,False,1158,400,2,False
816,462,28,False,732,371,30,False,916,479,3,False,1187,380,5,False,819,249,41,False,1109,277,29,False,919,336,26,False,1158,400,2,False
811,464,28,False,726,386,30,False,930,471,32,False,1196,375,5,False,805,249,41,False,1114,270,3,False,919,336,26,False,1158,400,2,False
823,463,29,False,724,398,30,False,937,460,32,False,1197,370,5,False,794,251,41,False,1132,277,3,False,919,336,26,False,1158,400,2,False
848,442,35,False,725,410,30,False,938,449,35,False,1188,359,5,False,782,253,42,False,1151,285,3,False,919,336,26,False,1158,400,2,False
847,416,38,False,727,418,30,False,946,439,36,False,1185,345,5,False,770,257,42,False,1183,287,3,False,919,336,26,False,1158,400,2,False
841,397,40,False,728,423,30,False,960,434,36,False,1193,334,5,False,743,261,47,False,1207,293,3,False,919,336,26,False,1158,400,2,False
843,383,4,False,727,430,32,False,971,429,38,False,1207,335,5,False,730,266,51,False,1214,295,3,False,919,336,26,False,1158,400,2,False
848,371,4,False,715,445,3,False,965,426,40,False,1220,338,5,False,722,270,53,False,1216,295,nan,False,919,336,26,False,1158,400,2,False
849,364,4,False,703,458,3,False,947,444,40,False,1226,335,5,False,712,275,54,False,1216,295,nan,True,919,336,26,False,1158,400,2,False
1767,506,4,False,696,472,3,False,931,456,40,False,1222,325,6,False,702,281,57,False,1216,295,nan,True,919,336,26,False,1158,400,2,False
833,342,45,False,700,488,3,False,936,464,42,False,1211,314,6,False,707,277,61,False,1216,295,nan,True,919,336,26,False,1158,400,2,False
808,322,45,False,707,506,3,False,946,456,42,False,1201,303,69,False,1156,387,61,False,1216,295,nan,True,919,336,26,False,1158,400,2,False
799,302,45,False,714,522,3,False,976,439,42,False,1197,292,2,False,1156,387,62,False,1482,426,nan,True,919,336,26,False,1158,400,2,False
803,296,49,False,721,530,nan,False,996,413,42,False,1186,286,7,False,1156,387,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
801,305,50,False,720,526,nan,False,990,384,42,False,1171,283,4,False,1156,387,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
804,317,52,False,714,520,nan,False,979,354,42,False,1202,352,6,False,706,266,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
801,327,5,False,704,512,nan,False,963,326,42,False,1138,278,6,False,1156,387,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
795,337,5,False,700,507,nan,False,934,313,42,False,1202,352,6,False,1156,387,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
790,344,8,False,699,503,nan,False,915,308,42,False,745,50,6,False,1156,387,nan,False,1216,295,nan,False,1215,281,nan,False,1158,400,nan,False
790,344,8,True,698,500,nan,False,903,308,42,False,1057,266,6,False,761,252,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
790,344,8,True,699,497,8,False,892,310,4,False,1037,266,6,False,769,264,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
790,344,8,True,706,490,9,False,879,315,4,False,999,267,6,False,774,276,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
711,493,8,True,710,493,9,False,871,330,4,False,965,283,6,False,770,296,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
790,344,8,True,720,488,9,False,864,342,4,False,938,300,6,False,739,292,nan,False,1216,295,nan,False,919,336,nan,False,1158,400,nan,False
