202312051655
baigai
x
yagura
wiper_drive,others,1528,9,3,6,win
shooter_h3_d,myself,1097,5,4,2,win
shooter_spla,others,1251,12,9,5,win
blaster_crash,others,1106,12,5,6,win
shooter_modelar_rg,others,1989,8,7,6,lose
wiper_drive,others,1106,7,1,4,lose
maneuver_spla_collabo,others,892,8,9,4,lose
blaster_long,others,1027,3,6,3,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
1011,395,3,1,1070,214,33,1,1642,195,43,1,1149,356,51,1,1180,426,8,1,833,569,nan,1,897,412,46,1,860,579,49,1
1033,413,1,1,1070,210,33,1,1722,157,51,1,1149,356,61,1,1168,423,8,1,842,556,nan,1,897,399,46,1,865,580,62,1
1045,402,5,1,1044,402,33,1,1766,132,61,1,1148,355,5,1,1157,425,7,1,nan,nan,nan,1,896,388,46,1,882,593,66,1
1074,382,5,1,1073,204,33,1,1768,125,6,1,1147,354,5,1,1146,421,7,1,892,612,nan,1,898,379,43,1,899,392,nan,1
1090,378,63,1,1073,204,33,1,1756,127,69,1,1146,354,5,1,1144,427,7,1,903,621,nan,1,897,384,60,1,892,571,56,1
1090,379,51,1,1072,205,33,1,1756,127,69,1,1146,354,5,1,1150,457,7,1,890,618,nan,1,899,400,63,1,877,556,56,1
1088,388,6,1,1087,388,33,1,1750,129,69,1,1146,354,5,1,1159,480,4,1,861,603,nan,1,901,433,63,1,849,526,56,1
1073,205,6,1,1073,205,nan,1,1738,137,69,1,1146,354,5,1,1159,496,42,1,850,594,nan,1,896,469,63,1,841,489,56,1
1123,411,53,1,1073,205,nan,1,1706,152,69,1,1146,354,5,1,1157,506,42,1,849,593,nan,1,888,490,63,1,840,458,56,1
nan,nan,65,1,1072,206,39,1,1675,160,63,1,1146,354,5,1,1145,515,42,1,840,575,0,1,878,498,63,1,833,433,56,1
1071,210,66,1,1070,210,39,1,1648,164,63,1,1146,354,nan,1,1125,541,45,1,nan,nan,0,1,875,508,63,1,821,421,56,1
nan,nan,66,1,1072,215,93,1,1625,179,63,1,1146,354,nan,1,1099,558,47,1,860,519,0,1,871,535,63,1,807,421,56,1
nan,nan,6,1,1085,234,93,1,1599,192,63,1,1146,354,nan,1,1088,549,48,1,860,537,0,1,848,548,63,1,793,422,56,1
1162,379,6,1,1100,266,93,1,1557,192,63,1,nan,nan,9,1,1078,549,48,1,862,581,0,1,819,535,63,1,781,418,56,1
1170,360,6,1,1106,299,93,1,1526,184,63,1,nan,nan,61,1,1067,580,0,1,871,618,0,1,814,526,63,1,775,412,56,1
1168,337,61,1,1112,319,93,1,1512,180,66,1,1146,354,65,1,1074,595,0,1,874,630,0,1,822,519,63,1,772,399,56,1
1164,323,66,1,1114,314,93,1,1478,201,6,1,nan,nan,6,1,1087,603,2,1,874,628,4,1,834,514,63,1,778,385,56,1
1148,307,66,1,1148,307,93,1,1447,212,6,1,1146,354,63,1,1100,606,2,1,873,624,4,1,841,503,63,1,795,356,56,1
1136,293,63,1,1107,318,3,1,1415,212,3,1,1146,354,63,1,1111,606,4,1,867,616,8,1,842,492,63,1,805,336,56,1
1117,270,3,1,1095,340,3,1,1387,221,5,1,1146,354,63,1,1105,591,4,1,847,589,0,1,852,478,63,1,807,333,56,1
1099,237,3,1,1099,237,91,1,1365,224,5,1,1146,354,63,1,1118,557,4,1,849,552,0,1,867,456,63,1,805,333,56,1
1074,229,3,1,1080,397,5,1,1360,203,5,1,1146,354,63,1,1136,529,4,1,867,542,1,1,878,439,63,1,804,335,56,1
1056,233,3,1,1080,422,5,1,1348,198,5,1,1146,354,63,1,1149,507,4,1,865,573,2,1,886,427,63,1,802,329,56,1
1043,208,nan,1,1082,438,5,1,1338,196,5,1,1146,354,63,1,1157,505,4,1,878,613,3,1,901,407,62,1,800,312,56,1
1037,199,5,1,1083,452,5,1,1324,184,5,1,1146,354,63,1,1160,516,4,1,885,628,5,1,916,387,68,1,808,293,56,1
1018,175,3,1,1085,476,5,1,1298,155,3,1,1146,354,63,1,1148,525,5,1,885,626,7,1,920,375,0,1,828,321,56,1
995,146,9,1,1087,508,66,1,1264,136,9,1,1146,354,6,1,1137,529,5,1,870,610,7,1,917,371,0,1,838,334,56,1
982,126,66,1,1076,531,51,1,1237,139,9,1,1146,354,nan,1,1121,553,5,1,849,572,8,1,914,391,0,1,839,339,56,1
983,121,66,1,1068,521,6,1,1221,138,9,1,1146,354,nan,1,1104,566,5,1,855,531,21,1,912,428,0,1,855,349,56,1
