202312051644
baigai
x
yagura
spinner_hydrant,others,1098,16,3,4,win
maneuver_spla_collabo,others,1302,5,1,5,win
hude_pablo,others,1222,13,3,5,win
shooter_h3_d,myself,878,6,1,3,win
shelter_spy_sorella,others,1104,7,5,5,lose
maneuver_kelvin,others,850,8,11,4,lose
shooter_bottle_foil,others,1081,7,5,4,lose
shooter_52,others,987,6,9,5,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
1057,429,nan,1,903,290,nan,1,940,290,53,1,1067,246,9,1,848,559,42,1,794,664,28,1,789,517,26,1,926,663,66,1
1045,437,5,1,906,289,nan,1,941,293,53,1,1067,255,9,1,837,552,44,1,795,660,28,1,779,506,26,1,920,656,66,1
1036,448,6,1,910,296,nan,1,942,291,53,1,1068,254,9,1,831,537,0,1,799,659,28,1,772,495,2,1,915,647,66,1
1035,455,6,1,931,309,nan,1,942,292,61,1,1068,253,9,1,830,531,0,1,807,658,28,1,775,485,2,1,920,652,66,1
1035,466,nan,1,963,325,nan,1,nan,nan,53,1,1064,267,9,1,826,543,0,1,818,664,2,1,784,494,2,1,921,659,66,1
1014,482,9,1,973,330,nan,1,943,291,3,1,1069,296,9,1,828,553,0,1,830,660,2,1,786,507,2,1,930,665,66,1
1000,506,66,1,972,329,nan,1,944,292,1,1,1066,308,9,1,850,570,0,1,845,657,0,1,776,526,2,1,940,668,66,1
998,510,66,1,972,329,nan,1,944,293,5,1,1059,317,31,1,861,571,0,1,860,656,3,1,775,559,2,1,945,659,66,1
1005,493,66,1,972,329,nan,1,939,291,5,1,1048,311,33,1,849,539,0,1,898,652,4,1,792,591,2,1,943,649,66,1
1021,457,66,1,972,329,nan,1,928,281,5,1,1029,308,61,1,845,510,0,1,nan,nan,4,1,821,605,2,1,946,647,69,1
1046,446,66,1,973,351,nan,1,921,275,5,1,1038,308,66,1,849,497,0,1,951,683,4,1,839,615,2,1,944,640,nan,1
981,376,66,1,981,376,nan,1,918,269,5,1,1066,290,1,1,857,487,0,1,964,681,4,1,851,624,2,1,937,629,2,1
1046,446,66,1,982,384,nan,1,906,266,31,1,1076,284,46,1,858,481,0,1,971,669,5,1,932,601,29,1,933,614,2,1
1046,446,66,1,987,414,nan,1,888,263,31,1,1074,285,46,1,858,478,0,1,978,656,5,1,977,642,0,1,934,599,2,1
1046,446,6,1,993,443,nan,1,885,269,31,1,1072,288,51,1,856,478,0,1,986,638,8,1,859,622,5,1,936,585,2,1
1046,446,6,1,1003,483,nan,1,886,270,31,1,1066,311,53,1,854,480,0,1,nan,nan,8,1,836,606,5,1,940,572,2,1
1046,446,6,1,1006,499,nan,1,874,280,31,1,1056,339,53,1,853,484,0,1,1014,573,8,1,806,598,6,1,943,561,2,1
1046,446,65,1,1007,498,nan,1,852,290,31,1,1042,330,55,1,852,486,0,1,1020,562,nan,1,792,590,41,1,947,575,2,1
1046,446,65,1,1008,495,nan,1,833,303,31,1,1055,313,56,1,853,488,0,1,1021,564,nan,1,784,563,41,1,941,592,2,1
1046,446,66,1,1046,446,nan,1,815,311,31,1,1069,311,59,1,852,490,0,1,1015,565,4,1,775,531,41,1,934,607,9,1
1046,446,66,1,1046,446,nan,1,805,313,31,1,1071,320,66,1,850,494,0,1,1012,553,4,1,783,506,41,1,931,619,6,1
1046,446,63,1,1046,446,nan,1,813,311,31,1,1056,328,66,1,849,498,0,1,1014,540,4,1,785,482,41,1,933,628,6,1
1046,446,63,1,1046,446,nan,1,812,311,31,1,1053,337,61,1,846,508,0,1,1010,537,4,1,780,482,41,1,932,638,6,1
1046,446,63,1,1046,446,nan,1,812,311,31,1,1046,326,61,1,836,538,0,1,nan,nan,4,1,781,492,41,1,924,629,66,1
1046,446,69,1,1046,446,nan,1,812,312,31,1,1059,288,61,1,834,565,0,1,nan,nan,4,1,791,498,41,1,924,615,66,1
1046,446,69,1,1046,446,nan,1,812,313,31,1,1076,251,61,1,834,571,0,1,1016,542,4,1,802,499,41,1,925,603,66,1
1046,446,69,1,1046,446,nan,1,810,323,31,1,1080,225,61,1,833,553,0,1,nan,nan,4,1,813,499,41,1,925,590,6,1
1046,446,69,1,1046,446,nan,1,800,343,31,1,1065,226,61,1,840,518,0,1,nan,nan,4,1,925,565,41,1,926,578,62,1
1046,446,69,1,1046,446,nan,1,803,358,31,1,1057,239,61,1,863,493,0,1,1012,547,4,1,812,499,41,1,928,567,62,1
1046,446,69,1,1046,446,nan,1,804,371,31,1,1058,241,61,1,876,467,0,1,nan,nan,4,1,811,497,44,1,931,556,62,1
1046,446,69,1,1046,446,nan,1,804,384,31,1,1059,241,61,1,883,446,0,1,nan,nan,4,1,809,495,45,1,931,546,62,1
1046,446,69,1,1046,446,nan,1,805,410,31,1,1060,240,61,1,890,413,0,1,1008,548,4,1,808,503,45,1,933,539,62,1
1046,446,69,1,1046,446,nan,1,805,438,31,1,1060,241,61,1,902,383,0,1,1011,539,4,1,811,513,45,1,940,533,62,1
1046,446,69,1,1046,446,nan,1,809,445,33,1,1063,260,61,1,916,366,0,1,621,46,4,1,820,514,45,1,949,527,62,1
1046,446,69,1,1046,446,nan,1,808,438,33,1,1058,277,63,1,927,354,0,1,1016,459,4,1,836,504,45,1,959,520,62,1
1046,446,69,1,1046,446,nan,1,813,428,33,1,1056,271,61,1,934,346,0,1,1015,417,4,1,848,472,45,1,969,513,62,1
1008,495,69,1,1007,495,nan,1,811,417,33,1,1062,263,6,1,953,334,2,1,1007,380,4,1,849,449,45,1,979,504,66,1
1008,495,69,1,1007,495,nan,1,809,411,33,1,1074,257,66,1,974,340,2,1,1008,348,4,1,860,440,45,1,986,492,69,1
nan,nan,93,1,nan,nan,nan,1,810,411,85,1,1073,258,9,1,988,346,2,1,992,331,4,1,859,429,45,1,993,481,69,1
nan,nan,9,1,nan,nan,nan,1,811,407,35,1,1073,258,5,1,992,345,2,1,984,333,4,1,849,425,45,1,1000,470,66,1
nan,nan,9,1,nan,nan,nan,1,807,400,6,1,1073,258,5,1,989,337,2,1,985,329,4,1,850,418,nan,1,991,463,66,1
nan,nan,93,1,nan,nan,nan,1,nan,nan,1,1,1073,258,5,1,974,459,2,1,985,328,4,1,849,428,45,1,976,472,66,1
1008,495,93,1,1007,495,nan,1,nan,nan,5,1,1073,258,6,1,954,450,2,1,985,328,4,1,848,433,45,1,956,463,66,1
1008,495,96,1,1007,495,nan,1,nan,nan,nan,1,1073,258,nan,1,984,314,2,1,985,328,4,1,858,440,45,1,943,444,66,1
